from,to,h,prior,n_subnodes,type,name,count
aabaabaabaabaab,babaababaababaa,repeat(append(append(append(append('1' '0') '1') '0') '0')),-19.316952,10,INT,0,0
aabaabaabaabaab,babaababaababaa,repeat(append(append(append(append('1' '0') '1') '0') '0')),-19.316952,10,INT,1,0
aabaabaabaabaab,babaababaababaa,repeat(append(append(append(append('1' '0') '1') '0') '0')),-19.316952,10,INT,2,0
aabaabaabaabaab,babaababaababaa,repeat(append(append(append(append('1' '0') '1') '0') '0')),-19.316952,10,INT,3,0
aabaabaabaabaab,babaababaababaa,repeat(append(append(append(append('1' '0') '1') '0') '0')),-19.316952,10,INT,4,0
aabaabaabaabaab,babaababaababaa,repeat(append(append(append(append('1' '0') '1') '0') '0')),-19.316952,10,INT,5,0
aabaabaabaabaab,babaababaababaa,repeat(append(append(append(append('1' '0') '1') '0') '0')),-19.316952,10,INT,6,0
aabaabaabaabaab,babaababaababaa,repeat(append(append(append(append('1' '0') '1') '0') '0')),-19.316952,10,INT,7,0
aabaabaabaabaab,babaababaababaa,repeat(append(append(append(append('1' '0') '1') '0') '0')),-19.316952,10,INT,8,0
aabaabaabaabaab,babaababaababaa,repeat(append(append(append(append('1' '0') '1') '0') '0')),-19.316952,10,INT,9,0
aabaabaabaabaab,babaababaababaa,repeat(append(append(append(append('1' '0') '1') '0') '0')),-19.316952,10,INT,30,0
aabaabaabaabaab,babaababaababaa,repeat(append(append(append(append('1' '0') '1') '0') '0')),-19.316952,10,SEQ,1,2
aabaabaabaabaab,babaababaababaa,repeat(append(append(append(append('1' '0') '1') '0') '0')),-19.316952,10,SEQ,0,3
aabaabaabaabaab,babaababaababaa,repeat(append(append(append(append('1' '0') '1') '0') '0')),-19.316952,10,SEQ,from_seq,0
aabaabaabaabaab,babaababaababaa,repeat(append(append(append(append('1' '0') '1') '0') '0')),-19.316952,10,SEQ,invert,0
aabaabaabaabaab,babaababaababaa,repeat(append(append(append(append('1' '0') '1') '0') '0')),-19.316952,10,SEQ,repeat,1
aabaabaabaabaab,babaababaababaa,repeat(append(append(append(append('1' '0') '1') '0') '0')),-19.316952,10,SEQ,append,4
aabaabaabaabaab,babaababaababaa,repeat(append(append(append(append('1' '0') '1') '0') '0')),-19.316952,10,SEQ,delete,0
aabaabaabaabaab,babaababaababaa,repeat(append(append(append(append('1' '0') '1') '0') '0')),-19.316952,10,SEQ,cut,0
aabaabaabaabaab,babaababaababaa,repeat(append(append(append('1' '0') '1') append('0' '0'))),-19.316952,10,INT,0,0
aabaabaabaabaab,babaababaababaa,repeat(append(append(append('1' '0') '1') append('0' '0'))),-19.316952,10,INT,1,0
aabaabaabaabaab,babaababaababaa,repeat(append(append(append('1' '0') '1') append('0' '0'))),-19.316952,10,INT,2,0
aabaabaabaabaab,babaababaababaa,repeat(append(append(append('1' '0') '1') append('0' '0'))),-19.316952,10,INT,3,0
aabaabaabaabaab,babaababaababaa,repeat(append(append(append('1' '0') '1') append('0' '0'))),-19.316952,10,INT,4,0
aabaabaabaabaab,babaababaababaa,repeat(append(append(append('1' '0') '1') append('0' '0'))),-19.316952,10,INT,5,0
aabaabaabaabaab,babaababaababaa,repeat(append(append(append('1' '0') '1') append('0' '0'))),-19.316952,10,INT,6,0
aabaabaabaabaab,babaababaababaa,repeat(append(append(append('1' '0') '1') append('0' '0'))),-19.316952,10,INT,7,0
aabaabaabaabaab,babaababaababaa,repeat(append(append(append('1' '0') '1') append('0' '0'))),-19.316952,10,INT,8,0
aabaabaabaabaab,babaababaababaa,repeat(append(append(append('1' '0') '1') append('0' '0'))),-19.316952,10,INT,9,0
aabaabaabaabaab,babaababaababaa,repeat(append(append(append('1' '0') '1') append('0' '0'))),-19.316952,10,INT,30,0
aabaabaabaabaab,babaababaababaa,repeat(append(append(append('1' '0') '1') append('0' '0'))),-19.316952,10,SEQ,1,2
aabaabaabaabaab,babaababaababaa,repeat(append(append(append('1' '0') '1') append('0' '0'))),-19.316952,10,SEQ,0,3
