from,to,h,prior,n_subnodes,type,name,count
aaabaaabaaabaaa,baabaaabaaaabaa,append(invert('0') repeat(append(delete(repeat(append(append(cut('0' 0 6) '0') append('1' invert('1')))) 8) invert(invert('0'))))),-47.654398,22,SEQ,from_seq,0
aaabaaabaaabaaa,baabaaabaaaabaa,append(invert('0') repeat(append(delete(repeat(append(append(cut('0' 0 6) '0') append('1' invert('1')))) 8) invert(invert('0'))))),-47.654398,22,SEQ,invert,4
aaabaaabaaabaaa,baabaaabaaaabaa,append(invert('0') repeat(append(delete(repeat(append(append(cut('0' 0 6) '0') append('1' invert('1')))) 8) invert(invert('0'))))),-47.654398,22,SEQ,repeat,2
aaabaaabaaabaaa,baabaaabaaaabaa,append(invert('0') repeat(append(delete(repeat(append(append(cut('0' 0 6) '0') append('1' invert('1')))) 8) invert(invert('0'))))),-47.654398,22,SEQ,append,5
aaabaaabaaabaaa,baabaaabaaaabaa,append(invert('0') repeat(append(delete(repeat(append(append(cut('0' 0 6) '0') append('1' invert('1')))) 8) invert(invert('0'))))),-47.654398,22,SEQ,delete,1
aaabaaabaaabaaa,baabaaabaaaabaa,append(invert('0') repeat(append(delete(repeat(append(append(cut('0' 0 6) '0') append('1' invert('1')))) 8) invert(invert('0'))))),-47.654398,22,SEQ,cut,1
aaabaaabaaabaaa,baabaaabaaaabaa,append(invert('0') repeat(append(delete(repeat(append(append(cut('0' 0 8) '0') append('1' invert('1')))) 8) delete('0' 9)))),-48.133971,22,INT,0,1
aaabaaabaaabaaa,baabaaabaaaabaa,append(invert('0') repeat(append(delete(repeat(append(append(cut('0' 0 8) '0') append('1' invert('1')))) 8) delete('0' 9)))),-48.133971,22,INT,1,0
aaabaaabaaabaaa,baabaaabaaaabaa,append(invert('0') repeat(append(delete(repeat(append(append(cut('0' 0 8) '0') append('1' invert('1')))) 8) delete('0' 9)))),-48.133971,22,INT,2,0
aaabaaabaaabaaa,baabaaabaaaabaa,append(invert('0') repeat(append(delete(repeat(append(append(cut('0' 0 8) '0') append('1' invert('1')))) 8) delete('0' 9)))),-48.133971,22,INT,3,0
aaabaaabaaabaaa,baabaaabaaaabaa,append(invert('0') repeat(append(delete(repeat(append(append(cut('0' 0 8) '0') append('1' invert('1')))) 8) delete('0' 9)))),-48.133971,22,INT,4,0
aaabaaabaaabaaa,baabaaabaaaabaa,append(invert('0') repeat(append(delete(repeat(append(append(cut('0' 0 8) '0') append('1' invert('1')))) 8) delete('0' 9)))),-48.133971,22,INT,5,0
aaabaaabaaabaaa,baabaaabaaaabaa,append(invert('0') repeat(append(delete(repeat(append(append(cut('0' 0 8) '0') append('1' invert('1')))) 8) delete('0' 9)))),-48.133971,22,INT,6,0
aaabaaabaaabaaa,baabaaabaaaabaa,append(invert('0') repeat(append(delete(repeat(append(append(cut('0' 0 8) '0') append('1' invert('1')))) 8) delete('0' 9)))),-48.133971,22,INT,7,0
