from,to,h,prior,n_subnodes,type,name,count
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) from_seq),-20.385711,9,SEQ,cut,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat(repeat('1')) 4) repeat('0')) from_seq),-22.059687,10,INT,0,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat(repeat('1')) 4) repeat('0')) from_seq),-22.059687,10,INT,1,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat(repeat('1')) 4) repeat('0')) from_seq),-22.059687,10,INT,2,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat(repeat('1')) 4) repeat('0')) from_seq),-22.059687,10,INT,3,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat(repeat('1')) 4) repeat('0')) from_seq),-22.059687,10,INT,4,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat(repeat('1')) 4) repeat('0')) from_seq),-22.059687,10,INT,5,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat(repeat('1')) 4) repeat('0')) from_seq),-22.059687,10,INT,6,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat(repeat('1')) 4) repeat('0')) from_seq),-22.059687,10,INT,7,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat(repeat('1')) 4) repeat('0')) from_seq),-22.059687,10,INT,8,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat(repeat('1')) 4) repeat('0')) from_seq),-22.059687,10,INT,9,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat(repeat('1')) 4) repeat('0')) from_seq),-22.059687,10,INT,30,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat(repeat('1')) 4) repeat('0')) from_seq),-22.059687,10,SEQ,1,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat(repeat('1')) 4) repeat('0')) from_seq),-22.059687,10,SEQ,0,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat(repeat('1')) 4) repeat('0')) from_seq),-22.059687,10,SEQ,from_seq,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat(repeat('1')) 4) repeat('0')) from_seq),-22.059687,10,SEQ,invert,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat(repeat('1')) 4) repeat('0')) from_seq),-22.059687,10,SEQ,repeat,3
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat(repeat('1')) 4) repeat('0')) from_seq),-22.059687,10,SEQ,append,2
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat(repeat('1')) 4) repeat('0')) from_seq),-22.059687,10,SEQ,delete,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat(repeat('1')) 4) repeat('0')) from_seq),-22.059687,10,SEQ,cut,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat(repeat('1')) 4) repeat('0')) invert(from_seq)),-24.892901,11,INT,0,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat(repeat('1')) 4) repeat('0')) invert(from_seq)),-24.892901,11,INT,1,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat(repeat('1')) 4) repeat('0')) invert(from_seq)),-24.892901,11,INT,2,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat(repeat('1')) 4) repeat('0')) invert(from_seq)),-24.892901,11,INT,3,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat(repeat('1')) 4) repeat('0')) invert(from_seq)),-24.892901,11,INT,4,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat(repeat('1')) 4) repeat('0')) invert(from_seq)),-24.892901,11,INT,5,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat(repeat('1')) 4) repeat('0')) invert(from_seq)),-24.892901,11,INT,6,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat(repeat('1')) 4) repeat('0')) invert(from_seq)),-24.892901,11,INT,7,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat(repeat('1')) 4) repeat('0')) invert(from_seq)),-24.892901,11,INT,8,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat(repeat('1')) 4) repeat('0')) invert(from_seq)),-24.892901,11,INT,9,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat(repeat('1')) 4) repeat('0')) invert(from_seq)),-24.892901,11,INT,30,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat(repeat('1')) 4) repeat('0')) invert(from_seq)),-24.892901,11,SEQ,1,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat(repeat('1')) 4) repeat('0')) invert(from_seq)),-24.892901,11,SEQ,0,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat(repeat('1')) 4) repeat('0')) invert(from_seq)),-24.892901,11,SEQ,from_seq,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat(repeat('1')) 4) repeat('0')) invert(from_seq)),-24.892901,11,SEQ,invert,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat(repeat('1')) 4) repeat('0')) invert(from_seq)),-24.892901,11,SEQ,repeat,3
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat(repeat('1')) 4) repeat('0')) invert(from_seq)),-24.892901,11,SEQ,append,2
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat(repeat('1')) 4) repeat('0')) invert(from_seq)),-24.892901,11,SEQ,delete,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat(repeat('1')) 4) repeat('0')) invert(from_seq)),-24.892901,11,SEQ,cut,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(repeat(repeat(append(delete(repeat('1') 4) repeat('0')))) invert(from_seq)),-26.396978,12,INT,0,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(repeat(repeat(append(delete(repeat('1') 4) repeat('0')))) invert(from_seq)),-26.396978,12,INT,1,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(repeat(repeat(append(delete(repeat('1') 4) repeat('0')))) invert(from_seq)),-26.396978,12,INT,2,0
